timestamp,load_mw,temperature_c,hour,day_of_week,is_weekend,day_of_year
2023-01-01 00:00:00,2235.11,24.3,0,6,1,1
2023-01-01 01:00:00,2117.68,22.8,1,6,1,1
2023-01-01 02:00:00,2346.67,23.8,2,6,1,1
2023-01-01 03:00:00,2445.14,24.0,3,6,1,1
2023-01-01 04:00:00,2259.54,23.7,4,6,1,1
2023-01-01 05:00:00,2445.01,24.1,5,6,1,1
2023-01-01 06:00:00,2717.43,21.3,6,6,1,1
2023-01-01 07:00:00,2802.43,21.2,7,6,1,1
2023-01-01 08:00:00,2952.96,22.9,8,6,1,1
2023-01-01 09:00:00,2972.89,23.0,9,6,1,1
2023-01-01 10:00:00,3225.62,22.0,10,6,1,1
2023-01-01 11:00:00,3265.62,23.5,11,6,1,1
2023-01-01 12:00:00,3212.78,24.8,12,6,1,1
2023-01-01 13:00:00,3308.1,25.4,13,6,1,1
2023-01-01 14:00:00,3215.16,25.9,14,6,1,1
2023-01-01 15:00:00,3067.0,20.4,15,6,1,1
2023-01-01 16:00:00,3218.77,20.7,16,6,1,1
2023-01-01 17:00:00,3162.73,22.5,17,6,1,1
2023-01-01 18:00:00,3410.23,23.2,18,6,1,1
2023-01-01 19:00:00,3270.24,22.6,19,6,1,1
2023-01-01 20:00:00,3053.9,21.9,20,6,1,1
2023-01-01 21:00:00,2707.57,22.4,21,6,1,1
2023-01-01 22:00:00,2621.14,24.0,22,6,1,1
2023-01-01 23:00:00,2300.96,20.4,23,6,1,1
2023-01-02 00:00:00,2462.64,27.6,0,0,0,2
2023-01-02 01:00:00,2487.29,22.9,1,0,0,2
2023-01-02 02:00:00,2625.69,25.0,2,0,0,2
2023-01-02 03:00:00,2688.46,21.7,3,0,0,2
2023-01-02 04:00:00,2796.74,24.0,4,0,0,2
2023-01-02 05:00:00,2919.14,23.1,5,0,0,2
2023-01-02 06:00:00,3219.64,24.6,6,0,0,2
2023-01-02 07:00:00,3094.24,22.5,7,0,0,2
2023-01-02 08:00:00,3204.25,26.0,8,0,0,2
2023-01-02 09:00:00,3277.65,19.9,9,0,0,2
2023-01-02 10:00:00,3500.11,24.8,10,0,0,2
2023-01-02 11:00:00,3601.57,23.1,11,0,0,2
2023-01-02 12:00:00,3495.61,20.8,12,0,0,2
2023-01-02 13:00:00,3412.19,26.8,13,0,0,2
2023-01-02 14:00:00,3386.79,26.6,14,0,0,2
2023-01-02 15:00:00,3518.82,18.7,15,0,0,2
2023-01-02 16:00:00,3557.05,23.2,16,0,0,2
2023-01-02 17:00:00,3613.77,24.3,17,0,0,2
2023-01-02 18:00:00,3556.67,23.7,18,0,0,2
2023-01-02 19:00:00,3599.28,25.9,19,0,0,2
2023-01-02 20:00:00,3384.89,25.5,20,0,0,2
2023-01-02 21:00:00,3098.36,23.4,21,0,0,2
2023-01-02 22:00:00,2886.86,27.4,22,0,0,2
2023-01-02 23:00:00,2639.6,24.7,23,0,0,2
2023-01-03 00:00:00,2574.26,22.0,0,1,0,3
2023-01-03 01:00:00,2530.16,21.6,1,1,0,3
2023-01-03 02:00:00,2602.26,25.2,2,1,0,3
2023-01-03 03:00:00,2715.94,21.1,3,1,0,3
2023-01-03 04:00:00,2610.65,21.9,4,1,0,3
2023-01-03 05:00:00,2844.99,22.2,5,1,0,3
2023-01-03 06:00:00,2959.33,23.4,6,1,0,3
2023-01-03 07:00:00,3071.89,22.3,7,1,0,3
2023-01-03 08:00:00,3228.85,20.1,8,1,0,3
2023-01-03 09:00:00,3509.42,25.0,9,1,0,3
2023-01-03 10:00:00,3352.82,21.9,10,1,0,3
2023-01-03 11:00:00,3586.39,26.7,11,1,0,3
